id   Names        X       Y       RA      DEC         V    BV  Prob 
  356  KC-356       20.46  -83.56  19:53:47.55  18:45:18.4   16.13  0.88   0
  357  2-173         4.82  -66.83  19:53:46.44  18:45:35.1   16.16  1.05   4
  358  KC-358        7.14  -50.62  19:53:46.61  18:45:51.3   15.88  0.93   1
  359  KC-359       -0.10  -34.06  19:53:46.09  18:46:07.9   15.91  1.05   0
  360  2-270        64.43  -37.09  19:53:50.64  18:46:04.9   16.04  0.91   8
  361  2-269        62.67  -31.44  19:53:50.51  18:46:10.5   16.18  0.96   2
  363  KC-363       90.15   -7.51  19:53:52.44  18:46:34.4   16.36  1.43   0
  364  KC-364       79.14   23.01  19:53:51.67  18:47:05.0   16.09  1.21   0
  365  KC-365       69.36   23.99  19:53:50.98  18:47:06.0   16.23  0.86   0
  366  KC-366       89.85   27.89  19:53:52.43  18:47:09.9   16.49  1.04  79
  367  KC-367       80.88   32.49  19:53:51.80  18:47:14.5   16.65  1.02   0
  368  KC-368       73.00   38.09  19:53:51.24  18:47:20.0   15.96  1.00   7
  369  KC-369       63.78   61.72  19:53:50.59  18:47:43.7   15.92  1.40   0
  370  KC-370       46.67   59.75  19:53:49.38  18:47:41.7   16.46  0.93  86
  371  KC-371       38.36   63.92  19:53:48.80  18:47:45.9   16.03  1.02  62
  372  KC-372       21.96   49.50  19:53:47.64  18:47:31.5   15.93  1.22  11
  373  KC-373       -8.38   47.93  19:53:45.51  18:47:29.9   15.86  1.57   0
  374  KC-374      -26.85   51.65  19:53:44.21  18:47:33.6   16.27  1.23   0
  375  KC-375      -20.49   40.70  19:53:44.65  18:47:22.7   15.88  1.16  15
  377  KC-377       -1.67   31.09  19:53:45.98  18:47:13.0   16.45  0.95   2
  378  KC-378       42.89   16.62  19:53:49.12  18:46:58.6   16.26  1.34   2
  379  KC-379       26.72  -20.47  19:53:47.98  18:46:21.5   16.02  0.87   0
  380  KC-380      -10.31   -3.06  19:53:45.37  18:46:38.9   16.05  0.99   1
  381  2-67        -58.70  -32.67  19:53:41.96  18:46:09.3   16.40  0.69   0
  382  2-216        23.44  -61.74  19:53:47.74  18:45:40.2   16.21  0.73  21
  383  2-226        28.88  -64.61  19:53:48.13  18:45:37.3   16.51  0.90   1
  384  2-251        40.57  -68.98  19:53:48.96  18:45:33.0   16.59  1.04  11
  385  2-263        57.17  -28.38  19:53:50.12  18:46:13.6   16.52  0.78   0
  386  2-277        58.47  -53.24  19:53:50.22  18:45:48.7   16.22  0.81   1
  387  2-58        -48.70  -24.91  19:53:42.67  18:46:17.0   16.59  0.78   0
  388  2-71        -51.67  -29.47  19:53:42.46  18:46:12.5   16.25  1.13  20
  389  2-204        20.84  -53.62  19:53:47.57  18:45:48.3   16.62  0.74   1
  390  2-170        -7.59  -75.09  19:53:45.56  18:45:26.9   16.39  1.07   8
 1006  -9999999     -5.20   60.93  19:53:45.73  18:47:42.9   19.10  0.90  85
 1007  -9999999     -0.93   61.36  19:53:46.04  18:47:43.3   19.99  1.13   3
 1008  -9999999     -1.04   55.92  19:53:46.03  18:47:37.9   19.25  1.06  50
 1009  -9999999     -2.49   50.06  19:53:45.92  18:47:32.0   18.48  0.89  84
 1010  -9999999     16.56   45.60  19:53:47.26  18:47:27.6   18.40  0.92  96
 1011  -9999999     44.73   42.14  19:53:49.25  18:47:24.1   18.29  0.80  97
 1012  -9999999     46.96   39.12  19:53:49.40  18:47:21.1   18.52  0.81  95
 1013  -9999999     46.67   36.40  19:53:49.38  18:47:18.4   19.09  0.97  85
 1014  -9999999     11.95   28.66  19:53:46.93  18:47:10.6   18.23  0.81  98
 1015  -9999999     37.36    5.97  19:53:48.72  18:46:47.9   18.25  0.89  91
 1016  -9999999     35.09   -5.03  19:53:48.57  18:46:36.9   18.96  0.75  59
 1017  -9999999     31.22   -7.66  19:53:48.29  18:46:34.3   19.15  0.83  96
 1018  -9999999      8.02  -32.53  19:53:46.66  18:46:09.4   18.39  0.81  68
 1019  -9999999      9.31  -39.63  19:53:46.76  18:46:02.3   17.92  0.82  97
 1020  -9999999    -17.65  -28.11  19:53:44.85  18:46:13.8   19.86  0.95  48
 1021  -9999999    -38.65   -3.75  19:53:43.38  18:46:38.2   18.86  0.90   9
 1022  -9999999    -32.16   -2.91  19:53:43.83  18:46:39.1   19.34  0.93  52
 1023  -9999999    -40.26   22.28  19:53:43.26  18:47:04.2   19.63  1.04  47
 1024  -9999999    -40.77   29.20  19:53:43.22  18:47:11.2   19.98  0.85  71
 1025  -9999999    -41.79   32.34  19:53:43.15  18:47:14.3   19.48  1.14  91
 1026  -9999999    -15.40   73.84  19:53:45.01  18:47:55.8   18.58  0.77  88
 1027  -9999999    -22.29   86.17  19:53:44.52  18:48:08.1   18.95  0.85  88
 1028  -9999999    -17.39   85.91  19:53:44.87  18:48:07.9   18.48  0.78  93
 1029  -9999999     -8.30   82.59  19:53:45.51  18:48:04.6   18.93  0.88  96
 1030  -9999999     -6.75   85.22  19:53:45.63  18:48:07.2   18.27  0.82  93
 1031  -9999999     -2.81   87.00  19:53:45.90  18:48:09.0   18.94  0.92  88
 1032  -9999999     -2.01   89.46  19:53:45.95  18:48:11.4   19.68  1.20  70
 1033  -9999999     -1.83   93.47  19:53:45.97  18:48:15.4   18.71  1.01   0
 1034  -9999999      0.50   91.58  19:53:46.13  18:48:13.5   19.30  0.67   5
 1035  -9999999      7.53   93.86  19:53:46.63  18:48:15.8   18.85  0.79  98
 1036  -9999999     -1.15   82.16  19:53:46.02  18:48:04.1   17.34  1.07  96
 1037  -9999999      6.98   77.18  19:53:46.59  18:47:59.1   18.90  0.93  94
 1038  -9999999      6.42   72.52  19:53:46.55  18:47:54.5   18.54  0.81  83
 1039  -9999999      2.56   73.96  19:53:46.28  18:47:55.9   18.23  0.77  43
 1040  -9999999      5.36   69.47  19:53:46.48  18:47:51.4   19.70  0.83  64
 1041  -9999999      2.42   70.85  19:53:46.27  18:47:52.8   18.29  0.87  73
 1042  -9999999      7.43   68.43  19:53:46.62  18:47:50.4   19.35  0.82  63
 1043  -9999999     28.37   68.94  19:53:48.10  18:47:50.9   18.81  0.85  74
 1044  -9999999     27.35   65.94  19:53:48.03  18:47:47.9   18.11  0.82  96
 1045  -9999999     30.47   62.25  19:53:48.24  18:47:44.2   18.61  0.81  79
 1046  -9999999     44.18   63.10  19:53:49.21  18:47:45.1   19.53  0.99  71
 1047  -9999999     40.88   67.89  19:53:48.97  18:47:49.8   17.67  0.84  76
 1048  -9999999     49.71   66.75  19:53:49.60  18:47:48.7   19.31  0.92   0
 1049  -9999999     56.61   65.16  19:53:50.08  18:47:47.1   19.78  0.96  82
 1050  -9999999     59.98   67.05  19:53:50.31  18:47:49.0   19.18  0.83  82
 1056  -9999999     61.40   70.39  19:53:50.42  18:47:52.3   17.79  0.80  93
 1057  -9999999     72.18   61.07  19:53:51.18  18:47:43.0   18.84  0.85  92
 1058  -9999999     71.86   58.01  19:53:51.16  18:47:40.0   17.79  0.80  93
 1059  -9999999     58.90   31.14  19:53:50.24  18:47:13.1   19.14  0.99   0
 1060  -9999999     58.66   28.92  19:53:50.23  18:47:10.9   19.03  0.77  72
 1061  -9999999     69.78   31.07  19:53:51.01  18:47:13.0   18.11  0.84  74
 1062  -9999999     82.08   41.84  19:53:51.88  18:47:23.8   19.08  0.89  93
 1063  -9999999     83.55   45.14  19:53:51.98  18:47:27.1   18.87  0.82  96
 1064  -9999999     77.14   18.80  19:53:51.53  18:47:00.8   19.42  0.94  93
 1065  -9999999     74.04   19.24  19:53:51.31  18:47:01.2   18.20  0.78  97
 1066  -9999999     67.46   18.14  19:53:50.85  18:47:00.1   18.92  1.00  83
 1067  -9999999     78.32    0.03  19:53:51.61  18:46:42.0   19.57  0.94  86
 1068  -9999999     88.70    0.74  19:53:52.35  18:46:42.7   19.19  0.88  95
 1069  -9999999     84.77  -10.18  19:53:52.06  18:46:31.8   18.66  0.77  96
 1070  -9999999     86.11  -20.73  19:53:52.16  18:46:21.2   19.43  0.88  88
 1071  -9999999     83.75  -29.69  19:53:51.99  18:46:12.3   17.77  0.90  92
 1072  -9999999     83.33  -25.61  19:53:51.97  18:46:16.3   18.06  0.75  87
 1073  -9999999     80.27  -28.34  19:53:51.75  18:46:13.6   19.58  0.97  91
 1074  -9999999     70.22  -24.50  19:53:51.04  18:46:17.5   19.13  0.86  65
 1075  -9999999     62.13  -21.41  19:53:50.47  18:46:20.6   19.12  1.01   0
 1076  -9999999     64.99  -26.81  19:53:50.68  18:46:15.1   17.51  0.84   0
 1077  -9999999     61.38  -25.31  19:53:50.42  18:46:16.6   16.94  0.74  96
 1078  -9999999     60.16  -36.01  19:53:50.33  18:46:06.0   20.05  0.86  56
 1079  -9999999     60.13  -58.30  19:53:50.33  18:45:43.7   17.98  0.78  98
 1080  -9999999     45.95  -69.93  19:53:49.33  18:45:32.0   18.77  0.86   0
 1081  -9999999     32.57  -61.40  19:53:48.40  18:45:40.6   19.11  0.84  90
 1082  -9999999     21.92  -68.21  19:53:47.64  18:45:33.8   16.92  0.90   0
 1083  -9999999     14.94  -80.84  19:53:47.15  18:45:21.1   18.32  0.78  98
 1084  -9999999     -3.95  -71.27  19:53:45.82  18:45:30.7   20.10  1.04  80
 1085  -9999999    -10.95  -77.89  19:53:45.32  18:45:24.1   19.94  0.69   9
 1086  -9999999    -12.85  -75.93  19:53:45.19  18:45:26.0   19.10  0.73  92
 1087  -9999999    -42.92  -51.77  19:53:43.08  18:45:50.2   18.35  0.80  95
 1088  -9999999    -49.83  -46.66  19:53:42.59  18:45:55.3   19.89  1.11  82
 1089  -9999999    -61.44  -46.74  19:53:41.77  18:45:55.2   18.00  0.76  92
 1090  -9999999    -64.40  -44.69  19:53:41.57  18:45:57.3   19.33  0.91  90
 1092  -9999999    -59.16  -37.48  19:53:41.94  18:46:04.5   19.25  1.11   0
 1093  -9999999    -55.48  -37.12  19:53:42.19  18:46:04.8   18.51  0.74  95
 1094  -9999999    -56.26  -15.39  19:53:42.13  18:46:26.6   18.96  0.85  58
 1095  -9999999    -55.97  -10.62  19:53:42.16  18:46:31.3   18.44  0.86  96
 1096  -9999999    -65.39  -11.00  19:53:41.50  18:46:31.0   18.47  0.77  95
 1097  -9999999    -68.60   -8.62  19:53:41.26  18:46:33.3   18.50  0.82  94
 1098  -9999999    -74.71  -10.12  19:53:40.84  18:46:31.8   19.03  0.83  92
 1099  -9999999    -74.46   -7.36  19:53:40.86  18:46:34.6   19.85  1.03  86
 1100  -9999999    -72.54   -3.49  19:53:40.99  18:46:38.5   19.73  0.90  87
 1101  -9999999    -78.38   -3.82  19:53:40.58  18:46:38.1   18.15  0.79  90
 1102  -9999999    -74.57    2.86  19:53:40.85  18:46:44.8   19.58  0.73   0
 1103  -9999999    -70.63    0.40  19:53:41.13  18:46:42.4   17.63  1.08   0
 1104  -9999999    -79.30    9.50  19:53:40.51  18:46:51.5   19.53  0.73  90
 1105  -9999999    -80.15   12.47  19:53:40.45  18:46:54.4   19.46  1.01  47
 1106  -9999999    -69.88    4.66  19:53:41.17  18:46:46.6   18.59  1.91   5
 1107  -9999999    -75.91   19.02  19:53:40.75  18:47:01.0   19.76  1.21   0
 1108  -9999999    -72.57   18.46  19:53:40.99  18:47:00.4   19.15  0.95  94
 1109  -9999999    -71.82   25.36  19:53:41.04  18:47:07.3   19.70  0.93  68
 1110  -9999999    -77.06   31.44  19:53:40.67  18:47:13.4   19.08  0.86  88
 1111  -9999999    -76.23   35.76  19:53:40.73  18:47:17.7   18.75  0.97  95
 1112  -9999999    -71.53   40.90  19:53:41.06  18:47:22.9   18.47  0.79  87
 1113  -9999999    -66.39   41.84  19:53:41.43  18:47:23.8   18.31  0.79  98
 1114  -9999999    -63.16   42.90  19:53:41.65  18:47:24.9   18.95  0.90  79
 1115  -9999999    -68.56   49.72  19:53:41.27  18:47:31.7   18.68  0.81  94
 1116  -9999999    -64.37   54.08  19:53:41.57  18:47:36.0   18.84  0.78  88
 1117  -9999999    -50.35   49.23  19:53:42.55  18:47:31.2   18.77  0.83  96
 1118  -9999999    -44.12   51.60  19:53:42.99  18:47:33.6   18.20  0.80  77
 1119  -9999999    -54.62   64.11  19:53:42.24  18:47:46.1   18.03  0.78   0
 1120  -9999999    -44.52   75.61  19:53:42.97  18:47:57.6   17.73  0.89  92
 1126  -9999999    -30.60   57.94  19:53:43.94  18:47:39.9   18.93  0.89  96
 1127  -9999999    -36.20   79.96  19:53:43.54  18:48:01.9   18.79  0.88  98
 1128  -9999999    -15.76   97.25  19:53:44.99  18:48:19.2   19.27  0.79  94
 1129  -9999999    -12.26   99.50  19:53:45.23  18:48:21.5   17.90  0.77  98
 1130  -9999999     -5.28   96.84  19:53:45.72  18:48:18.8   18.00  0.76  99
 1131  -9999999     20.10   97.24  19:53:47.51  18:48:19.2   18.85  0.92  92
 1132  -9999999     22.73   98.24  19:53:47.70  18:48:20.2   19.72  0.84  92
 1133  -9999999     32.31   91.47  19:53:48.37  18:48:13.4   18.56  0.89  77
 1134  -9999999     47.29   93.11  19:53:49.43  18:48:15.1   18.69  0.83  91
 1135  -9999999     56.75   94.92  19:53:50.10  18:48:16.9   18.87  0.79  95
 1136  -9999999     56.67   99.15  19:53:50.09  18:48:21.1   18.72  0.84  76
 1137  -9999999     64.28   87.52  19:53:50.62  18:48:09.5   17.75  1.33   0
 1138  -9999999     62.52   82.30  19:53:50.50  18:48:04.3   19.10  1.09   0
 1139  -9999999     85.10   78.40  19:53:52.09  18:48:00.4   18.58  0.87  98
 1140  -9999999     86.94   75.88  19:53:52.22  18:47:57.8   17.56  0.90   0
 1141  -9999999     95.13   77.06  19:53:52.80  18:47:59.0   18.11  0.86  86
 1142  -9999999     75.80   70.43  19:53:51.43  18:47:52.4   19.41  0.83   8
 1143  -9999999     87.20   61.08  19:53:52.24  18:47:43.0   19.87  0.86  93
 1144  -9999999     97.69   60.62  19:53:52.97  18:47:42.6   19.00  1.16   0
 1145  -9999999    101.46   67.96  19:53:53.24  18:47:49.9   19.31  0.89  91
 1146  -9999999    110.49   50.32  19:53:53.88  18:47:32.3   19.61  0.96  95
 1147  -9999999    113.67   48.19  19:53:54.10  18:47:30.1   19.32  0.86  94
 1148  -9999999    113.86   41.14  19:53:54.11  18:47:23.1   19.64  1.07  90
 1149  -9999999    105.00   44.48  19:53:53.50  18:47:26.4   18.10  0.88  31
 1150  -9999999     97.14   47.85  19:53:52.94  18:47:29.8   18.81  0.83  97
 1151  -9999999     88.37   48.16  19:53:52.32  18:47:30.1   18.81  1.35   0
 1152  -9999999    100.51   36.41  19:53:53.18  18:47:18.4   20.07  0.97  57
 1153  -9999999    104.11   41.48  19:53:53.42  18:47:23.4   19.62  1.04  90
 1154  -9999999    103.86   33.83  19:53:53.41  18:47:15.8   19.65  0.83  84
 1155  -9999999    103.37   30.60  19:53:53.38  18:47:12.6   18.51  0.91  91
 1156  -9999999    113.58   35.44  19:53:54.10  18:47:17.4   20.18  0.97  42
 1157  -9999999    118.58   12.44  19:53:54.44  18:46:54.4   18.79  0.83  97
 1158  -9999999    119.55    6.17  19:53:54.52  18:46:48.1   17.50  0.89  99
 1159  -9999999    115.23    8.33  19:53:54.21  18:46:50.3   19.89  0.82  41
 1160  -9999999    112.80    9.22  19:53:54.03  18:46:51.2   19.30  0.86  72
 1161  -9999999    109.07   12.60  19:53:53.78  18:46:54.6   19.25  0.97   0
 1162  -9999999    107.90   -3.39  19:53:53.70  18:46:38.6   18.47  0.75  61
 1163  -9999999    107.04   -6.28  19:53:53.64  18:46:35.7   18.92  0.77  68
 1164  -9999999    109.65   -9.47  19:53:53.81  18:46:32.5   19.19  0.71  70
 1165  -9999999    110.75  -15.65  19:53:53.90  18:46:26.3   19.70  0.95  77
 1167  -9999999    115.92  -16.06  19:53:54.26  18:46:25.9   19.10  0.94  64
 1168  -9999999    116.68  -19.17  19:53:54.32  18:46:22.8   19.99  1.03  87
 1170  -9999999    107.14  -22.67  19:53:53.64  18:46:19.3   18.31  0.83  98
 1171  -9999999     97.47  -12.68  19:53:52.96  18:46:29.3   18.43  0.82  97
 1172  -9999999     92.45  -18.44  19:53:52.61  18:46:23.5   16.90  0.90  85
 1173  -9999999     90.31  -25.66  19:53:52.46  18:46:16.3   19.33  0.85   3
 1174  -9999999     92.76  -25.58  19:53:52.63  18:46:16.4   18.76  0.83  97
 1175  -9999999    101.04  -31.35  19:53:53.22  18:46:10.6   18.47  0.78  98
 1177  -9999999     95.92  -31.61  19:53:52.85  18:46:10.3   18.04  0.80  96
 1178  -9999999     91.39  -39.01  19:53:52.52  18:46:02.9   18.54  0.91  94
 1179  -9999999     95.45  -51.40  19:53:52.82  18:45:50.6   17.69  0.73  94
 1180  -9999999     92.15  -54.62  19:53:52.58  18:45:47.3   19.51  0.88  83
 1181  -9999999     96.80  -54.67  19:53:52.91  18:45:47.3   18.00  0.77  96
 1182  -9999999     89.95  -66.33  19:53:52.43  18:45:35.6   18.11  0.74  87
 1183  -9999999     84.06  -64.39  19:53:52.02  18:45:37.6   18.77  0.82  95
 1184  -9999999     81.60  -60.85  19:53:51.84  18:45:41.1   19.45  0.81  90
 1185  -9999999     82.40  -46.52  19:53:51.90  18:45:55.4   19.99  1.05  66
 1186  -9999999     79.30  -66.17  19:53:51.69  18:45:35.8   20.14  1.03  42
 1187  -9999999     75.66  -62.50  19:53:51.42  18:45:39.5   18.72  0.83  94
 1188  -9999999     70.74  -73.74  19:53:51.08  18:45:28.2   19.96  0.96  72
 1189  -9999999     66.03  -76.97  19:53:50.75  18:45:25.0   18.13  0.84  98
 1190  -9999999     61.31  -75.13  19:53:50.41  18:45:26.8   18.07  0.69  97
 1196  -9999999     56.25  -66.07  19:53:50.06  18:45:35.9   18.82  0.83  76
 1197  -9999999     51.70  -67.59  19:53:49.74  18:45:34.4   18.47  0.71  97
 1198  -9999999     60.25  -77.65  19:53:50.34  18:45:24.3   20.00  0.68  61
 1199  -9999999     69.17  -86.40  19:53:50.97  18:45:15.6   18.42  0.75   0
 1200  -9999999     66.51  -85.61  19:53:50.78  18:45:16.4   19.23  1.38   0
 1201  -9999999     61.15  -87.52  19:53:50.40  18:45:14.4   17.76  0.78  93
 1202  -9999999     54.42  -76.81  19:53:49.93  18:45:25.2   18.75  0.88   0
 1203  -9999999     41.30  -76.32  19:53:49.00  18:45:25.6   19.11  0.93   0
 1204  -9999999     36.15  -82.05  19:53:48.64  18:45:19.9   19.15  0.94  78
 1205  -9999999     38.00  -85.85  19:53:48.77  18:45:16.1   19.59  1.01   3
 1206  -9999999     39.40 -101.54  19:53:48.87  18:45:00.4   19.95  0.94   0
 1207  -9999999     36.99  -93.98  19:53:48.70  18:45:08.0   19.43  0.82  76
 1208  -9999999     34.18  -89.88  19:53:48.51  18:45:12.1   17.63  0.80  78
 1209  -9999999     31.01  -85.26  19:53:48.28  18:45:16.7   19.73  1.02  10
 1210  -9999999     27.47  -83.95  19:53:48.03  18:45:18.0   17.00  0.80   0
 1211  -9999999     26.58  -91.30  19:53:47.96  18:45:10.7   14.82  1.20  98
 1212  -9999999     30.35  -94.77  19:53:48.24  18:45:07.2   18.88  0.72   0
 1213  -9999999     15.72  -97.44  19:53:47.21  18:45:04.5   18.88  0.83  95
 1214  -9999999     11.62  -92.33  19:53:46.92  18:45:09.6   17.76  0.77  98
 1215  -9999999      5.82  -94.97  19:53:46.50  18:45:07.0   17.83  0.82  76
 1216  -9999999      1.44 -102.55  19:53:46.20  18:44:59.4   18.78  0.88  32
 1217  -9999999      0.82 -104.93  19:53:46.15  18:44:57.0   19.63  0.77  72
 1218  -9999999      3.91  -89.23  19:53:46.37  18:45:12.7   18.90  0.90  90
 1219  -9999999      2.60  -86.31  19:53:46.28  18:45:15.7   17.74  0.78  76
 1220  -9999999     -1.36  -83.47  19:53:45.99  18:45:18.5   18.52  0.76   0
 1221  -9999999     -8.73  -98.99  19:53:45.48  18:45:03.0   19.50  0.92  96
 1222  -9999999    -10.02 -102.97  19:53:45.39  18:44:59.0   17.24  0.72  99
 1223  -9999999    -13.23 -100.77  19:53:45.17  18:45:01.2   19.89  0.79  16
 1224  -9999999    -16.61  -97.53  19:53:44.94  18:45:04.4   19.09  1.07   5
 1225  -9999999    -16.76  -94.75  19:53:44.92  18:45:07.2   19.26  0.85  93
 1226  -9999999    -19.20  -93.84  19:53:44.74  18:45:08.1   18.97  0.81  93
 1227  -9999999    -19.90  -90.82  19:53:44.69  18:45:11.1   19.75  1.31  20
 1228  -9999999    -15.07  -91.49  19:53:45.03  18:45:10.5   19.53  1.14  46
 1229  -9999999    -17.00  -85.12  19:53:44.90  18:45:16.8   18.71  0.76  79
 1230  -9999999    -11.55  -81.53  19:53:45.29  18:45:20.4   17.13  1.04  91
 1231  -9999999    -17.55  -79.30  19:53:44.86  18:45:22.7   19.06  0.83  96
 1232  -9999999    -23.91  -94.51  19:53:44.41  18:45:07.4   18.84  0.76  85
 1233  -9999999    -26.18  -97.24  19:53:44.26  18:45:04.7   18.59  0.76  95
 1234  -9999999    -25.64  -99.64  19:53:44.29  18:45:02.3   19.55  0.87  59
 1235  -9999999    -25.01 -102.83  19:53:44.34  18:44:59.1   18.58  0.71  91
 1236  -9999999    -33.70  -97.45  19:53:43.72  18:45:04.5   18.56  0.84  89
 1237  -9999999    -46.00  -86.26  19:53:42.86  18:45:15.7   19.06  0.80  95
 1238  -9999999    -51.04  -79.88  19:53:42.51  18:45:22.1   19.90  1.06  80
 1239  -9999999    -44.05  -71.19  19:53:42.99  18:45:30.8   18.44  0.98   0
 1240  -9999999    -43.92  -67.92  19:53:43.01  18:45:34.0   18.24  0.81  90
 1241  -9999999    -54.43  -72.56  19:53:42.27  18:45:29.4   18.66  0.76  95
 1242  -9999999    -56.75  -73.81  19:53:42.11  18:45:28.2   18.39  0.90  71
 1243  -9999999    -56.47  -76.88  19:53:42.12  18:45:25.1   17.85  0.82  87
 1244  -9999999    -61.81  -84.52  19:53:41.74  18:45:17.4   19.20  0.92  83
 1245  -9999999    -61.08  -82.27  19:53:41.79  18:45:19.7   18.83  0.83  96
 1246  -9999999    -68.28  -78.07  19:53:41.29  18:45:23.9   19.31  0.81  94
 1247  -9999999    -70.80  -75.78  19:53:41.11  18:45:26.2   17.59  0.83  96
 1248  -9999999    -75.71  -70.18  19:53:40.77  18:45:31.8   18.33  0.71  71
 1249  -9999999    -72.72  -70.10  19:53:40.97  18:45:31.9   18.50  0.81  97
 1250  -9999999    -69.54  -65.96  19:53:41.20  18:45:36.0   18.65  0.81  95
 1251  -9999999    -61.04  -56.90  19:53:41.80  18:45:45.1   17.93  0.80  92
 1252  -9999999    -64.97  -57.11  19:53:41.52  18:45:44.9   17.93  0.75  94
 1253  -9999999    -69.50  -48.82  19:53:41.21  18:45:53.1   18.02  1.04   0
 1254  -9999999    -72.28  -56.45  19:53:41.01  18:45:45.5   19.69  0.92  94
 1255  -9999999    -78.36  -65.62  19:53:40.58  18:45:36.3   19.25  0.82  85
 1256  -9999999    -86.50  -58.63  19:53:40.01  18:45:43.3   19.30  0.91  91
 1257  -9999999    -86.17  -54.79  19:53:40.03  18:45:47.2   18.68  1.32   0
 1258  -9999999    -74.64  -50.85  19:53:40.84  18:45:51.1   19.99  0.82  82
 1259  -9999999    -79.05  -45.49  19:53:40.53  18:45:56.5   19.89  1.03  73
 1266  -9999999    -86.45  -45.19  19:53:40.01  18:45:56.8   18.43  0.89  97
 1267  -9999999    -89.81  -40.09  19:53:39.78  18:46:01.9   19.13  0.84  80
 1268  -9999999    -81.47  -37.45  19:53:40.36  18:46:04.5   20.12  1.06  81
 1269  -9999999    -80.47  -32.99  19:53:40.43  18:46:09.0   18.34  0.81  12
 1270  -9999999    -84.76  -32.22  19:53:40.13  18:46:09.7   19.33  1.01   0
 1271  -9999999    -88.78  -29.17  19:53:39.85  18:46:12.8   18.70  0.85  93
 1272  -9999999    -94.46  -29.67  19:53:39.45  18:46:12.3   19.53  0.90  91
 1273  -9999999    -98.35  -26.52  19:53:39.18  18:46:15.4   18.22  0.79  98
 1274  -9999999    -99.54  -23.56  19:53:39.09  18:46:18.4   19.16  1.21   1
 1275  -9999999    -98.03  -17.45  19:53:39.19  18:46:24.5   17.67  0.85  97
 1276  -9999999    -77.00  -28.33  19:53:40.67  18:46:13.6   17.14  1.42   0
 1277  -9999999    -79.48  -22.47  19:53:40.50  18:46:19.5   17.92  0.78  98
 1278  -9999999    -81.65  -11.45  19:53:40.35  18:46:30.5   18.91  0.84  84
 1279  -9999999    -86.07  -11.69  19:53:40.03  18:46:30.3   19.87  1.50  34
 1280  -9999999    -84.57   -5.07  19:53:40.14  18:46:36.9   17.45  0.95  95
 1281  -9999999    -96.22   -4.72  19:53:39.33  18:46:37.2   17.56  0.99  94
 1282  -9999999    -96.96    0.19  19:53:39.27  18:46:42.2   19.49  0.94   6
 1283  -9999999    -96.86    3.51  19:53:39.28  18:46:45.5   17.64  0.86  98
 1284  -9999999    -92.33    3.99  19:53:39.59  18:46:46.0   19.03  0.86  81
 1285  -9999999   -107.08    2.09  19:53:38.56  18:46:44.0   19.00  0.81  93
 1286  -9999999   -102.86    8.56  19:53:38.85  18:46:50.5   17.97  0.81  98
 1287  -9999999   -101.22   13.12  19:53:38.97  18:46:55.1   18.65  0.83  92
 1289  -9999999    -92.42   26.14  19:53:39.59  18:47:08.1   17.83  0.84  90
 1290  -9999999   -101.78   41.64  19:53:38.94  18:47:23.6   17.90  1.15   0
 1291  -9999999   -101.22   37.99  19:53:38.97  18:47:19.9   18.96  0.91  89
 1292  -9999999    -95.30   42.18  19:53:39.39  18:47:24.1   19.28  0.85  89
 1293  -9999999    -95.21   45.06  19:53:39.39  18:47:27.0   19.73  1.16  39
 1294  -9999999    -91.18   44.27  19:53:39.68  18:47:26.2   19.39  1.00   1
 1295  -9999999    -87.80   38.80  19:53:39.91  18:47:20.8   19.20  1.02  71
 1296  -9999999    -85.26   34.62  19:53:40.09  18:47:16.6   19.15  0.83   0
 1297  -9999999    -85.56   31.74  19:53:40.08  18:47:13.7   19.63  1.03  77
 1298  -9999999    -82.36   37.06  19:53:40.29  18:47:19.0   19.43  1.01  90
 1299  -9999999    -82.50   44.52  19:53:40.29  18:47:26.5   17.68  0.82  43
 1300  -9999999    -87.05   46.74  19:53:39.97  18:47:28.7   18.57  0.86  98
 1301  -9999999    -96.54   48.76  19:53:39.30  18:47:30.7   18.93  1.01   0
 1302  -9999999    -96.33   54.30  19:53:39.31  18:47:36.3   19.42  1.01  93
 1303  -9999999    -93.42   59.24  19:53:39.52  18:47:41.2   19.36  0.98  85
 1304  -9999999    -90.93   57.44  19:53:39.69  18:47:39.4   18.96  1.02   0
 1305  -9999999    -78.83   51.97  19:53:40.54  18:47:33.9   17.89  0.84  83
 1306  -9999999    -80.25   55.32  19:53:40.44  18:47:37.3   18.39  0.83  98
 1307  -9999999    -75.85   57.42  19:53:40.75  18:47:39.4   17.86  0.83  88
 1308  -9999999    -70.50   58.44  19:53:41.14  18:47:40.4   16.31  0.83   0
 1309  -9999999    -73.71   61.51  19:53:40.90  18:47:43.5   18.78  0.81  46
 1310  -9999999    -75.87   62.56  19:53:40.75  18:47:44.5   19.32  0.91  80
 1311  -9999999    -79.50   63.29  19:53:40.49  18:47:45.2   19.71  0.92  91
 1312  -9999999    -87.74   72.79  19:53:39.92  18:47:54.8   17.23  1.06  99
 1313  -9999999    -78.61   73.25  19:53:40.57  18:47:55.2   19.15  0.77  94
 1314  -9999999    -79.17   75.33  19:53:40.53  18:47:57.3   19.27  0.92  70
 1315  -9999999    -79.81   82.49  19:53:40.48  18:48:04.4   18.45  0.81  95
 1316  -9999999    -67.00   79.72  19:53:41.38  18:48:01.7   19.28  0.91  74
