ID,Year,Config,AP,V_kud,BV_kud,Obs_RV,Hel_RV,High_Res_RV,ID_kud,RA,Dec,X,Y,Prob,2MASS,r_2mass,RA_2mass,Dec_2mass,J,Jerr,H,Herr,K,Kerr,IR_Flags,RA_deg,Dec_deg,EBV,Mv,Teff_BV,Teff_VK,Teff_JK,logg,logg_bv,Teff_Final,Logg_Final,Teff_Avg,Logg_Avg,Duplicated,idcombined,hcn,cn41,hwch,hcn_noscale,cn41_noscale,hwch_noscale,Branch,ofe,ofe_flag,nafe,nafe_flag,Teff_Cord,Teff_Ram,logg_Ram,cfe_avgofe,nfe_avgofe,cfe_cn41_avgofe,nfe_cn41_avgofe,[C/Fe],[N/Fe],Fit_x,[C/Fe]_cn41,[N/Fe]_cn41,Fit_y,[C/Fe]_cratio50,[N/Fe]_cratio50,Fit_cratio50,dis,m275,m336,m438,r_hst,deltahcn,deltacn41,deltahwch
1-45,2014,br2,68.0,12.36,1.76,-19.1403,-21.4912,-19.9,61,19:53:48.27,18:48:02.2,30.82,80.24,97,19534827+1848021,0.061,19:53:48.274,+18:48:02.17,9.177,0.037,8.27,0.026,8.094,0.029,AAA,298.451125,18.8006111111,0.27,-1.337,3948.268688,3882.491337,3884.941418,0.983854,1.053793,3882.491337,0.983854,3915.3800125,1.0188235,False,61_br2_2014,0.021,0.309,0.38,0.271,0.424,0.549,0,0.11,cord,0.68,cord,3930.0,3950.0,0.9,-0.617335,2.497581,-1.193965,2.493519,-1.138304,2.496389,0.016031,-1.342122,1.310848,0.001,-1.138304,2.496389,0.016031,0.0225383242262,99.999,99.999,99.999,99.999,0.0809316845258,0.0234362604426,0.0281718959882
KC-169,2014,br2,73.0,14.3,1.08,-17.1998,-19.5508,-20.0,169,19:53:54.73,18:44:57.7,122.76,-104.23,96,19535474+1844577,0.191,19:53:54.743,+18:44:57.73,12.3,0.03,11.754,0.03,11.683,0.02,AAA,298.478041667,18.7493611111,0.28,0.572,5019.596643,5115.659785,5154.060486,2.565782,2.522063,5115.659785,2.565782,5067.628214,2.5439225,False,169_br2_2014,0.392,0.177,0.244,0.665,0.296,0.395,2,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.445502,1.64762,-0.448619,1.467424,-0.361947,1.658072,0.005,-0.47895,1.277879,0.001,-0.33072,1.859937,0.00141,0.0441229055819,99.999,99.999,99.999,99.999,0.426637002818,0.130630080152,-0.0592895642317
KC-144,2014,br2,80.0,14.64,1.16,-26.5539,-28.9048,-26.3,144,19:53:38.54,18:44:50.5,-107.32,-111.47,96,19533854+1844505,0.034,19:53:38.541,+18:44:50.53,12.527,0.029,11.92,0.029,11.847,0.022,AAA,298.410583333,18.7473611111,0.3,0.85,4875.508448,4966.370728,4951.905515,2.608178,2.563796,4966.370728,2.608178,4920.939588,2.585987,True,144_br2_2014,-0.047,0.089,0.333,0.172,0.159,0.449,0,0.355,carr_g,0.011,carr_g,-99.999,-99.999,-99.999,-0.210253,0.651468,-0.221112,0.681415,-0.120616,0.661685,0.003162,-0.238768,0.096327,0.002,-0.101724,0.715681,0.00424,0.0446888566474,99.999,99.999,99.999,99.999,-0.115970897014,-0.0242709099103,0.0175492217318
KC-215,2014,br2,82.0,15.3,0.97,-18.9366,-21.2875,-20.669,215,19:53:43.25,18:47:54.6,-40.5,72.59,93,19534324+1847545,0.111,19:53:43.242,+18:47:54.59,13.379,0.033,12.758,0.037,12.714,0.031,AAA,298.430208333,18.7985,0.3,1.51,5358.342,5204.637417,5005.646665,2.979844,3.043683,5204.637417,2.979844,5281.4897085,3.0117635,False,215_br2_2014,0.03,0.086,0.299,0.274,0.169,0.435,0,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.16634,0.956518,-0.174105,0.668703,-0.050117,0.959629,0.003162,-0.1905,0.248419,0.001,-0.040235,1.040009,0.00223,0.0231527410054,18.949,16.904,16.416,2.12568680949e-05,0.124051593101,0.0112611605227,0.00433384224261
1-19,2014,br2,88.0,14.4,1.06,-21.932,-24.2829,-24.086,84,19:53:51.14,18:46:10.7,71.51,-31.25,85,19535113+1846107,0.078,19:53:51.138,+18:46:10.77,12.474,0.032,11.955,0.035,11.878,0.025,AAA,298.463083333,18.7696388889,0.28,0.672,5068.209225,5228.420482,5237.68842,2.654785,2.584427,5228.420482,2.654785,5148.3148535,2.619606,False,84_br2_2014,0.027,0.11,0.304,0.26,0.19,0.431,2,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.119039,0.940692,-0.119609,0.988127,0.011049,0.942208,0.002,-0.137556,0.672584,0.001,0.019335,1.009606,0.001,0.0206837019228,17.955,16.0,15.464,5.99639809069e-06,0.136276331456,0.0339665315667,0.0118281613023
1-111,2014,br2,90.0,14.89,1.32,-20.4552,-22.8062,-22.3,135,19:53:36.41,18:46:08.1,-137.54,-33.89,92,19533641+1846080,0.09,19:53:36.415,+18:46:08.04,12.714,0.032,12.047,0.03,11.912,0.024,AAA,298.401708333,18.7689166667,0.31,1.069,4616.10051,4794.334945,4575.601996,2.60991,2.513178,4794.334945,2.60991,4705.2177275,2.561544,False,135_br2_2014,0.344,0.28,0.305,0.573,0.361,0.423,0,99.0,cord,0.36,cord,4850.0,-99.999,-99.999,-0.389096,1.400545,-0.395846,1.592578,-0.360045,1.361533,0.002828,-0.459861,1.409223,0.001414,-0.34691,1.618422,0.00282,0.0410720808182,99.999,99.999,99.999,99.999,0.163604847725,0.148180479422,-0.0214563789432
1-56,2014,br3,2.0,13.14,1.38,-14.8666,-18.2264,-21.334,55,19:53:48.28,18:48:25.3,31.04,103.33,97,19534828+1848253,0.111,19:53:48.286,+18:48:25.37,10.666,0.027,9.983,0.029,9.873,0.018,AAA,298.451166667,18.8070277778,0.28,-0.588,4473.641107,4472.669621,4564.430873,1.762199,1.762819,4472.669621,1.762199,4473.155364,1.762509,False,55_br3_2014,0.398,0.37,0.323,0.662,0.502,0.494,1,0.35,cord,0.42,cord,4445.0,4525.0,1.6,-0.519673,1.606541,-0.518092,1.707929,-0.511131,1.543287,0.001,-0.598594,1.540233,0.001,-0.511131,1.543287,0.001,0.0287149970308,99.999,99.999,99.999,99.999,0.101777944821,0.210593898205,-0.0179930910392
1-88,2014,br3,23.0,14.26,0.99,-18.2391,-21.599,-25.0,77,19:53:44.81,18:45:48.6,-18.36,-53.35,93,19534480+1845486,0.054,19:53:44.806,+18:45:48.61,12.368,0.025,11.88,0.029,11.8,0.024,AAA,298.436708333,18.7635,0.28,0.532,5248.136636,5304.369205,5354.527473,2.630513,2.607116,5304.369205,2.630513,5276.2529205,2.6188145,False,77_br3_2014,0.136,0.155,0.269,0.37,0.245,0.396,2,99.0,cord,0.52,cord,5175.0,-99.999,-99.999,-0.170605,1.251867,-0.168526,1.378259,-0.009593,1.233557,0.003162,-0.168446,1.02039,0.001,-0.010171,1.341176,0.001414,0.0170364259841,17.933,16.006,15.45,1.29096001815e-05,0.291478733006,0.0935905139445,-0.0146470251609
KC-130,2014,br3,27.0,15.01,1.28,-16.3714,-19.7312,-19.876,130,19:53:34.29,18:46:55.0,-167.78,13.04,96,19533428+1846550,0.109,19:53:34.282,+18:46:55.01,12.769,0.03,12.173,0.031,12.09,0.018,AAA,298.392875,18.7819444444,0.32,1.158,4699.359116,4875.845321,4986.078945,2.687164,2.59448,4875.845321,2.687164,4787.6022185,2.640822,True,130_br3_2014,-0.088,0.094,0.35,0.159,0.191,0.506,0,0.26,cord,0.16,cord,4700.0,-99.999,-99.999,-0.188971,0.534899,-0.182854,0.586765,-0.140179,0.516906,0.002236,-0.261166,0.008848,0.002,-0.131425,0.570708,0.00223,0.0482053653288,99.999,99.999,99.999,99.999,-0.217862615174,-0.00659483393359,0.0284040642939
H,2014,br3,35.0,12.12,1.88,-19.1736,-22.5335,99.0,101,19:53:47.46,18:46:51.1,19.39,9.11,94,19534746+1846511,0.098,19:53:47.467,+18:46:51.12,8.573,0.039,7.679,0.049,7.449,0.02,AAA,298.44775,18.7808611111,0.28,-1.608,3822.323421,3744.735801,3818.710748,0.696391,0.803911,3744.735801,0.696391,3783.529611,0.750151,False,101_br3_2014,-0.15,0.294,0.337,0.073,0.408,0.497,0,0.05,cord,0.51,cord,3780.0,-99.999,-99.999,-0.266795,2.133425,-0.874169,2.463514,-1.147433,2.459711,0.122376,-1.946094,1.501042,0.070349,-1.147433,2.459711,0.12237,0.004173754664,99.999,99.999,99.999,99.999,0.0819550671868,0.0337686957301,-0.0115128887262
1-113,2014,br3,37.0,12.43,1.8,-10.899,-14.2588,-22.1,63,19:53:45.75,18:47:54.9,-4.82,72.93,97,19534575+1847547,0.144,19:53:45.757,+18:47:54.80,9.094,0.021,8.203,0.046,7.974,0.024,AAA,298.440625,18.7985833333,0.27,-1.267,3901.487438,3809.753028,3818.196077,0.924218,1.03283,3809.753028,0.924218,3855.620233,0.978524,False,63_br3_2014,-0.141,0.217,0.352,0.104,0.332,0.521,0,0.31,cord,0.23,cord,3825.0,-99.999,-99.999,-0.818534,2.482672,-1.421337,2.491328,-1.170426,2.478355,0.059666,-1.829687,0.052083,0.053712,-1.170426,2.478355,0.059666,0.0196074290794,99.999,99.999,99.999,99.999,0.00835821150749,-0.0591790382553,0.00143254824075
S,2014,br3,45.0,12.94,1.51,-18.6904,-22.0502,-22.975,23,19:53:39.87,18:43:53.0,-88.52,-169.0,94,19533986+1843530,0.045,19:53:39.868,+18:43:53.03,10.113,0.025,9.324,0.03,9.217,0.018,AAA,298.416125,18.7313888889,0.29,-0.819,4297.204243,4173.298718,4302.212626,1.459456,1.551815,4173.298718,1.459456,4235.2514805,1.5056355,False,23_br3_2014,0.305,0.372,0.353,0.548,0.493,0.516,0,0.05,cord,0.34,cord,4160.0,-99.999,-99.999,-0.580809,2.154017,-0.588986,1.895458,-0.788167,1.788327,0.001,-0.861536,1.455781,0.001,-0.788167,1.788327,0.001,0.0544752249559,99.999,99.999,99.999,99.999,0.0909126358335,0.122435020508,0.00333292614851
A9,2014,br3,46.0,12.94,1.57,-22.7681,-26.1279,-24.99,2,19:53:37.47,18:44:59.6,-122.55,-102.3,94,19533747+1844596,0.092,19:53:37.474,+18:44:59.68,9.955,0.025,9.194,0.029,9.052,0.02,AAA,298.406125,18.7498888889,0.3,-0.85,4227.851275,4091.422761,4295.575506,1.38043,1.488826,4091.422761,1.38043,4159.637018,1.434628,True,2_br3_2014,0.052,0.212,0.361,0.289,0.307,0.511,0,0.36,cord,0.13,cord,4025.0,-99.999,-99.999,-0.622781,1.627667,-0.630771,1.224166,-0.700378,1.531145,0.001414,-0.759839,-0.87653,0.002,-0.700378,1.531145,0.001414,0.0460993970411,99.999,99.999,99.999,99.999,-0.102397970036,-0.0798284223581,0.00987071768915
1-9,2014,br3,52.0,13.29,1.27,-16.5086,-19.8685,-20.4,82,19:53:49.05,18:46:00.3,41.89,-41.69,97,19534905+1846003,0.041,19:53:49.051,+18:46:00.34,10.95,0.029,10.276,0.031,10.186,0.022,AAA,298.454375,18.76675,0.28,-0.438,4649.037047,4604.608031,4649.731972,1.903541,1.929771,4604.608031,1.903541,4626.822539,1.916656,False,82_br3_2014,0.443,0.344,0.315,0.686,0.443,0.447,1,99.0,cord,0.43,cord,4550.0,-99.999,-99.999,-0.491278,1.558698,-0.493303,1.634994,-0.473033,1.493321,0.002236,-0.574928,1.472357,0.001414,-0.473033,1.493321,0.002236,0.0160267845217,18.517,15.844,14.659,1.40716026309e-05,0.173734191148,0.186779340378,-0.0207817704624
1-50,2014,br3,61.0,14.46,1.1,-22.6315,-25.9914,-26.8,201,19:53:53.73,18:48:41.9,108.25,119.98,95,19535372+1848419,0.089,19:53:53.726,+18:48:41.97,12.511,0.03,11.923,0.033,11.86,0.024,AAA,298.473875,18.8116388889,0.28,0.732,4949.831562,5136.13036,5025.406996,2.638856,2.55305,5136.13036,2.638856,5042.980961,2.595953,False,201_br3_2014,-0.005,0.099,0.33,0.242,0.184,0.467,2,99.0,cord,0.16,cord,5140.0,-99.999,-99.999,-0.087827,0.748566,-0.088485,0.727378,0.004234,0.776437,0.002236,-0.136997,0.460696,0.001,0.038911,0.842347,0.001,0.0432227685746,99.999,99.999,99.999,99.999,0.0435899592777,0.0205708502926,0.0285979320946
1-68,2014,br3,67.0,14.33,1.31,-16.1518,-19.5117,-19.9,93,19:53:44.06,18:47:10.3,-28.88,28.35,94,19534406+1847103,0.12,19:53:44.068,+18:47:10.35,11.973,0.043,11.32,0.04,11.24,0.037,AAA,298.433583333,18.7861944444,0.29,0.571,4599.8117,4638.412138,4759.276102,2.327147,2.304276,4638.412138,2.327147,4619.111919,2.3157115,False,93_br3_2014,0.165,0.127,0.355,0.434,0.234,0.527,0,0.47,cord,0.21,cord,4640.0,-99.999,-99.999,-0.261274,0.899649,-0.270519,0.70403,-0.15943,0.908798,0.003162,-0.257802,0.292533,0.002236,-0.142646,1.029626,0.002,0.0118696145043,19.242,16.565,15.656,3.09576732637e-05,-0.0922249059636,-0.0137585574045,0.0207055009638
KC-156,2014,br3,77.0,14.81,1.23,-19.4817,-22.8415,-25.385,156,19:53:45.82,18:43:43.5,-3.9,-178.42,86,19534582+1843435,0.137,19:53:45.827,+18:43:43.60,12.659,0.035,11.948,0.033,11.871,0.024,AAA,298.440916667,18.72875,0.27,1.113,4699.359116,4745.48174,4566.463705,2.601618,2.57648,4745.48174,2.601618,4722.420428,2.589049,False,156_br3_2014,0.055,0.106,0.351,0.32,0.197,0.5,0,0.388,carr_g,0.422,carr_g,-99.999,-99.999,-99.999,-0.226573,0.738602,-0.224338,0.615115,-0.16184,0.749677,0.001,-0.261444,0.103341,0.001,-0.143289,0.837244,0.002,0.0505136135847,99.999,99.999,99.999,99.999,-0.152742297949,-0.0259799919442,0.0218985147498
KC-118,2014,br3,82.0,14.55,1.14,-14.2616,-17.6214,-24.2,118,19:53:40.57,18:49:07.8,-78.55,145.81,97,19534056+1849078,0.102,19:53:40.564,+18:49:07.85,12.523,0.029,12.008,0.035,11.906,0.022,AAA,298.419041667,18.8188333333,0.3,0.76,4912.38119,5134.808664,5187.849493,2.649472,2.546055,5134.808664,2.649472,5023.594927,2.5977635,False,118_br3_2014,0.007,0.086,0.313,0.313,0.232,0.529,2,99.0,cord,0.25,cord,5170.0,-99.999,-99.999,-0.168575,0.841485,-0.169447,0.585384,-0.060688,0.862372,0.003162,-0.200178,0.178257,0.001,-0.033611,0.927004,0.00316,0.0460054807548,99.999,99.999,99.999,99.999,0.054693328723,0.0684490176137,0.01147436156
1-14,2014,br3,88.0,13.77,1.26,-18.9835,-22.3433,-24.0,45,19:53:55.06,18:45:34.5,127.39,-67.47,96,19535507+1845344,0.227,19:53:55.076,+18:45:34.48,11.523,0.032,10.845,0.031,10.763,0.024,AAA,298.479416667,18.7595833333,0.3,-0.02,4699.359116,4742.09563,4688.048473,2.146596,2.12328,4742.09563,2.146596,4720.727373,2.134938,False,45_br3_2014,0.118,0.131,0.35,0.358,0.213,0.484,1,0.53,cord,0.39,cord,4680.0,-99.999,-99.999,-0.281505,0.811497,-0.280413,0.778471,-0.147114,0.837401,0.001414,-0.256004,0.49372,0.001,-0.1513,0.918823,0.002828,0.0390854486485,99.999,99.999,99.999,99.999,-0.0915395485651,-0.0107120693109,0.0207220138724
I,2014,br3,90.0,12.42,1.57,-18.0322,-21.3921,99.0,105,19:53:44.77,18:46:35.0,-18.88,-7.01,96,19534477+1846349,0.025,19:53:44.770,+18:46:34.98,9.589,0.027,8.804,0.03,8.663,0.022,AAA,298.436541667,18.7763888889,0.28,-1.308,4200.752602,4140.81038,4220.133637,1.238032,1.285113,4140.81038,1.238032,4170.781491,1.2615725,False,105_br3_2014,0.075,0.233,0.344,0.305,0.322,0.478,1,0.27,cord,0.46,cord,4210.0,4150.0,1.0,-0.747616,1.669117,-0.764326,1.358785,-0.852078,1.561047,0.001,-0.915062,0.629018,0.001,-0.852078,1.561047,0.001,0.00734231562484,19.327,15.8,14.161,1.47036318742e-05,-0.117260879941,-0.0555196803674,-0.00630716056973
1-53,2014,br3,92.0,12.97,1.61,-22.0139,-25.3738,-24.8,52,19:53:50.64,18:49:07.4,64.42,145.46,97,19535064+1849075,0.122,19:53:50.641,+18:49:07.52,10.215,0.036,9.446,0.036,9.271,0.027,AAA,298.461,18.8187222222,0.28,-0.758,4147.61718,4175.101121,4178.718051,1.485267,1.463506,4175.101121,1.485267,4161.3591505,1.4743865,False,52_br3_2014,0.244,0.384,0.322,0.505,0.509,0.487,0,0.22,cord,0.82,cord,4220.0,-99.999,-99.999,-0.741718,2.155903,-0.757853,2.063831,-0.904671,1.993026,0.0,-0.961553,1.758354,0.001,-0.904671,1.993026,0.0,0.0427831967295,99.999,99.999,99.999,99.999,0.028774872506,0.138837646423,-0.0276294414582
C,2014,br3,96.0,14.49,1.16,-19.989,-23.3488,-25.36,162,19:53:48.54,18:44:49.1,34.71,-112.85,96,19534854+1844491,0.086,19:53:48.545,+18:44:49.14,12.324,0.04,11.732,0.038,11.598,0.03,AAA,298.45225,18.7469722222,0.27,0.793,4821.253511,4792.462831,4754.214242,2.498531,2.513472,4792.462831,2.498531,4806.858171,2.5060015,False,162_br3_2014,-0.092,0.076,0.328,0.156,0.176,0.48,0,0.378,carr_g,0.299,carr_g,-99.999,-99.999,-99.999,-0.33249,0.607861,-0.322244,0.691457,-0.24253,0.608057,0.001414,-0.338312,-1.64174,0.010198,-0.227385,0.660557,0.002,0.0332216901429,99.999,99.999,99.999,99.999,-0.273488882549,-0.0371948260593,0.00143874677297
1935,2014,f2,4.0,17.77,0.93,-18.3456,-21.0569,-23.402,1935,19:53:36.69,18:44:56.9,-133.68,-105.08,98,19533668+1844568,0.092,19:53:36.684,+18:44:56.88,16.063,0.084,15.366,0.118,15.512,0.17,ABC,298.402875,18.7491388889,0.3,3.98,5474.440458,5628.875057,5467.00492,4.135377,4.077434,5628.875057,4.135377,5551.6577575,4.1064055,False,1935_f2_2014,-0.311,0.026,0.275,-0.123,0.093,0.387,0,99.999,none,99.999,none,-99.999,-99.999,-99.999,0.063941,0.621404,0.079718,-1.433586,0.259618,0.61976,0.001414,0.116095,-1.298885,0.032388,0.252028,0.638261,0.001,0.0489710528116,99.999,99.999,99.999,99.999,-0.0072186468458,-0.0475164944563,0.0377372230307
2277,2014,f2,6.0,16.07,1.09,-21.5589,-24.2703,99.0,2277,19:53:53.00,18:49:22.9,97.96,160.92,98,19535300+1849229,0.077,19:53:53.003,+18:49:22.97,14.045,0.027,13.453,0.031,13.482,0.03,AAA,298.470833333,18.8230277778,0.28,2.342,4968.777614,5148.77424,5376.066029,3.28842,3.206127,5148.77424,3.28842,5058.775927,3.2472735,False,2277_f2_2014,-0.149,0.064,0.334,0.061,0.132,0.458,0,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.071786,0.549947,-0.065728,0.238817,0.042632,0.579961,0.001,-0.078725,-1.294314,0.003,0.058037,0.60686,0.001414,0.0508006932264,99.999,99.999,99.999,99.999,-0.0918651590189,-0.0302874635748,0.0337920683042
KC-183,2014,f2,9.0,15.57,1.14,-22.0144,-24.7258,-19.817,183,19:53:55.37,18:46:46.9,131.63,4.97,96,19535536+1846469,0.064,19:53:55.366,+18:46:46.93,13.609,0.025,13.03,0.029,12.922,0.018,AAA,298.480708333,18.7796944444,0.28,1.842,4875.508448,5080.9148,4897.573578,3.05819,2.960596,5080.9148,3.05819,4978.211624,3.009393,True,183_f2_2014,0.286,0.208,0.276,0.499,0.286,0.393,0,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.336516,1.392623,-0.330785,1.499401,-0.262103,1.397664,0.002236,-0.384377,1.334189,0.0,-0.250172,1.591603,0.001,0.035033898478,99.999,99.999,99.999,99.999,0.296687265313,0.117065442161,-0.0303664816431
1424,2014,f2,14.0,16.51,1.12,-28.0482,-30.7595,99.0,1424,19:53:54.22,18:45:46.8,115.37,-55.18,97,19535422+1845467,0.1,19:53:54.227,+18:45:46.80,14.646,0.035,14.018,0.058,13.929,0.05,AAA,298.475916667,18.763,0.28,2.782,4912.38119,5159.673506,4797.092288,3.469192,3.354855,5159.673506,3.469192,5036.027348,3.4120235,True,1424_f2_2014,-0.239,0.057,0.327,-0.038,0.121,0.448,0,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.088666,0.43887,-0.088649,-0.339773,0.030411,0.460806,0.001414,-0.080542,-1.265853,0.01044,0.039912,0.480283,0.002,0.0345285299075,99.999,99.999,99.999,99.999,-0.174549924485,-0.0403374373247,0.0278390259588
KC-306,2014,f2,25.0,16.28,1.06,-25.0122,-27.7236,-24.338,306,19:53:36.01,18:45:42.6,-143.22,-59.33,95,19533601+1845426,0.059,19:53:36.014,+18:45:42.61,14.338,0.043,13.669,0.049,13.644,0.047,AAA,298.400041667,18.7618333333,0.3,2.49,5118.027292,5145.525276,4903.031074,3.346193,3.334035,5145.525276,3.346193,5131.776284,3.340114,False,306_f2_2014,-0.015,-0.004,0.303,0.229,0.092,0.45,0,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.166382,0.863669,-0.104785,-0.920443,-0.103128,0.888659,0.002,-0.171875,-1.314583,0.076688,-0.065674,0.967266,0.004123,0.0448414022732,99.999,99.999,99.999,99.999,0.0399449611674,-0.0705767382337,0.00248314059679
1208,2014,f2,30.0,17.63,0.8,-30.4892,-33.2005,99.0,1208,19:53:48.51,18:45:12.1,34.18,-89.88,78,19534850+1845121,0.144,19:53:48.502,+18:45:12.19,16.148,0.118,16.34,9.999,15.306,0.147,BUB,298.452125,18.7533611111,0.26,3.964,5759.713078,5427.814493,4406.51081,4.052899,4.175723,5427.814493,4.052899,5593.7637855,4.114311,False,1208_f2_2014,-0.103,0.047,0.136,0.087,0.118,0.225,0,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.859211,1.769941,-0.879374,0.853342,-0.762243,1.810664,0.001,-0.776172,-1.286979,0.044721,-0.768977,1.871041,0.00141,0.027034568324,99.999,99.999,99.999,99.999,0.118339032813,-0.0280500352584,-0.131910127373
2072,2014,f2,37.0,17.67,0.85,-23.3002,-26.0115,99.0,2072,19:53:49.72,18:48:32.1,51.48,110.11,87,99999999+9999999,9.999,99:99:99.999,+99:99:99.99,99.999,9.999,99.999,9.999,99.999,9.999,999,298.457166667,18.8089166667,0.28,3.942,5660.674007,5660.674007,0.0,4.131726,4.131726,5660.674007,4.131726,5660.674007,4.131726,False,2072_f2_2014,-0.333,0.045,0.155,-0.126,0.113,0.254,0,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.445681,1.099692,-0.5,0.166667,-0.27042,1.107287,0.0,-0.374292,-0.896794,0.033541,-0.28164,1.137518,0.00141,0.0323379217924,99.999,99.999,99.999,99.999,-0.018279405281,-0.0267617121664,-0.0768766016292
1230,2014,f2,43.0,17.13,1.04,-16.468,-19.1794,99.0,1230,19:53:45.29,18:45:20.4,-11.55,-81.53,91,19534528+1845204,0.069,19:53:45.286,+18:45:20.44,15.356,0.046,14.716,0.079,14.922,0.105,AAA,298.438708333,18.7556666667,0.26,3.464,5068.209225,5575.524266,5966.643455,3.909314,3.701227,5575.524266,3.909314,5321.8667455,3.8052705,False,1230_f2_2014,-0.158,0.055,0.263,0.071,0.126,0.392,0,99.999,none,99.999,none,-99.999,-99.999,-99.999,0.000605,0.936245,0.058442,-0.735358,0.157806,0.960582,0.001414,0.01877,-1.758813,0.008544,0.169784,0.987485,0.001,0.0239992962716,99.999,99.999,99.999,99.999,0.126456209516,-0.0157993821994,0.0170176455797
1639,2014,f2,56.0,17.0,0.75,-16.0379,-18.7493,99.0,1639,19:53:38.15,18:47:42.6,-112.98,60.6,95,19533813+1847425,0.17,19:53:38.139,+18:47:42.52,15.639,0.059,15.364,0.097,15.396,0.178,AAC,298.408958333,18.7951666667,0.3,3.21,6083.63014,6707.855389,7462.957555,4.163435,3.981836,6707.855389,4.163435,6395.7427645,4.0726355,False,1639_f2_2014,-0.358,0.006,0.08,-0.149,0.092,0.193,0,99.999,none,99.999,none,-99.999,-99.999,-99.999,0.496507,1.860113,0.482507,0.754606,0.479835,2.123814,0.026019,0.496466,0.127547,0.02126,0.476765,2.135909,0.025179,0.0365708476382,99.999,99.999,99.999,99.999,2.37189487718,-0.0430797848715,-0.00029551079165
KC-335,2014,f2,57.0,16.14,0.95,-26.6955,-29.4069,99.0,335,19:53:56.92,18:47:32.7,153.6,50.75,95,19535691+1847326,0.006,19:53:56.920,+18:47:32.70,14.164,0.046,13.655,0.048,13.622,0.048,AAA,298.487166667,18.7924166667,0.28,2.412,5358.342,5232.343504,5468.876272,3.352448,3.404483,5232.343504,3.352448,5295.342752,3.3784655,True,335_f2_2014,-0.208,0.059,0.312,0.003,0.128,0.437,0,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.096447,0.552387,-0.101052,-0.552709,0.030265,0.572725,0.003162,-0.094577,-1.395987,0.008944,0.035289,0.597336,0.002236,0.0432157306068,99.999,99.999,99.999,99.999,-0.0962443117616,-0.0277646624867,0.0202475079585
KC-244,2014,f2,60.0,15.76,1.0,-23.0405,-25.7519,99.0,244,19:53:51.33,18:45:48.7,74.32,-53.29,81,19535132+1845487,0.051,19:53:51.330,+18:45:48.75,13.876,0.058,13.328,0.048,13.244,0.05,AAA,298.463875,18.7635277778,0.28,2.032,5221.45567,5236.357103,5096.306624,3.202146,3.195825,5236.357103,3.202146,5228.9063865,3.1989855,True,244_f2_2014,-0.254,0.063,0.286,-0.048,0.13,0.403,0,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.197711,0.560825,-0.198175,-0.046958,-0.064847,0.575317,0.002236,-0.199414,-1.707943,0.01005,-0.053808,0.606071,0.006325,0.0246986907738,19.774,17.606,17.15,2.07057813556e-05,-0.139717457959,-0.0254932237514,-0.00532112889339
KC-302,2014,f2,70.0,15.62,1.23,-26.2395,-28.9508,-26.709,302,19:53:36.30,18:46:19.9,-139.15,-22.1,96,19533630+1846198,0.037,19:53:36.301,+18:46:19.87,13.511,0.035,12.891,0.033,12.829,0.027,AAA,298.40125,18.7721944444,0.31,1.799,4768.225472,4992.619881,4960.025695,3.00023,2.888163,4992.619881,3.00023,4880.4226765,2.9441965,False,302_f2_2014,-0.104,0.08,0.335,0.119,0.15,0.461,0,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.154338,0.572446,-0.150883,0.323432,-0.070755,0.610342,0.001,-0.188852,-0.229612,0.002,-0.051652,0.649724,0.001414,0.0408038290385,99.999,99.999,99.999,99.999,-0.154795820573,-0.029620787788,0.0214946583838
1036,2014,f2,72.0,17.34,1.07,-21.8319,-24.5433,99.0,1036,19:53:46.02,18:48:04.1,-1.15,82.16,96,19534602+1848038,0.245,19:53:46.029,+18:48:03.89,15.426,0.161,14.722,0.223,14.694,0.185,CDC,298.44175,18.8011388889,0.27,3.643,5019.596643,5059.099128,4735.177318,3.768674,3.750463,5059.099128,3.768674,5039.3478855,3.7595685,False,1036_f2_2014,-0.301,0.037,0.311,-0.069,0.109,0.438,0,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.167562,0.41139,-0.161937,-1.217128,-0.078913,0.430927,0.001414,-0.136914,-1.332682,0.040025,-0.069935,0.450166,0.001,0.0220226622972,99.999,99.999,99.999,99.999,-0.305469433074,-0.0623529357771,0.00278088116782
