ID,Year,Config,AP,V_kud,BV_kud,Obs_RV,Hel_RV,High_Res_RV,ID_kud,RA,Dec,X,Y,Prob,2MASS,r_2mass,RA_2mass,Dec_2mass,J,Jerr,H,Herr,K,Kerr,IR_Flags,RA_deg,Dec_deg,EBV,Mv,Teff_BV,Teff_VK,Teff_JK,logg,logg_bv,Teff_Final,Logg_Final,Teff_Avg,Logg_Avg,Duplicated,idcombined,hcn,cn41,hwch,hcn_noscale,cn41_noscale,hwch_noscale,Branch,ofe,ofe_flag,nafe,nafe_flag,Teff_Cord,Teff_Ram,logg_Ram,cfe_avgofe,nfe_avgofe,cfe_cn41_avgofe,nfe_cn41_avgofe,[C/Fe],[N/Fe],Fit_x,[C/Fe]_cn41,[N/Fe]_cn41,Fit_y,[C/Fe]_cratio50,[N/Fe]_cratio50,Fit_cratio50,dis,m275,m336,m438,r_hst,deltahcn,deltacn41,deltahwch
1-42,2014,br1,68.0,14.22,1.02,-17.6228,-20.8253,-20.4,92,19:53:47.36,18:47:16.4,18.0,34.44,96,19534737+1847164,0.153,19:53:47.371,+18:47:16.41,12.259,0.075,11.702,0.066,11.67,0.022,AAA,298.447333333,18.7878888889,0.28,0.492,5169.094261,5194.464284,5266.311765,2.568275,2.557298,5194.464284,2.568275,5181.7792725,2.5627865,False,92_br1_2014,0.045,0.141,0.266,0.286,0.231,0.398,2,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.293306,1.090031,-0.290337,1.282362,-0.163251,1.094785,0.002236,-0.308398,1.015731,0.001,-0.158475,1.169052,0.002,0.00934732897188,17.92,15.963,15.42,4.13711804572e-05,0.132442796666,0.0724908527551,-0.0297081872009
KC-126,2014,br1,72.0,14.71,1.2,-22.6774,-25.8799,-23.8,126,19:53:35.94,18:47:56.4,-144.26,74.48,97,19533593+1847564,0.095,19:53:35.938,+18:47:56.49,12.454,0.032,11.84,0.031,11.74,0.022,AAA,298.39975,18.799,0.31,0.889,4821.253511,4801.277583,4849.616396,2.541531,2.551872,4801.277583,2.541531,4811.265547,2.5467015,False,126_br1_2014,0.159,0.115,0.344,0.42,0.199,0.491,0,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.222536,0.880809,-0.217289,0.641053,-0.16037,0.919416,0.002,-0.262195,0.360885,0.002,-0.136858,1.037554,0.00141,0.0460883444714,99.999,99.999,99.999,99.999,-0.0173096682324,-0.0124376423053,0.0179350718037
CF4,2014,br1,78.0,14.34,1.06,-18.333,-21.5355,-24.0,282,19:54:03.50,18:46:58.5,247.03,16.64,80,19540349+1846585,0.025,19:54:03.498,+18:46:58.50,12.428,0.032,11.857,0.031,11.811,0.022,AAA,298.514583333,18.7829166667,0.28,0.612,5068.209225,5220.287817,5154.060486,2.627328,2.560427,5220.287817,2.627328,5144.248521,2.5938775,False,282_br1_2014,-0.099,0.079,0.296,0.135,0.15,0.418,2,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.155957,0.776624,-0.154625,0.303884,-0.028296,0.789356,0.0,-0.179688,-1.219792,0.004,-0.011035,0.837274,0.001,0.0672045078922,99.999,99.999,99.999,99.999,0.00510705088708,-0.00660185746472,0.00296598931914
KC-144,2014,br1,80.0,14.64,1.16,-25.3171,-28.5196,-26.3,144,19:53:38.54,18:44:50.5,-107.32,-111.47,96,19533854+1844505,0.034,19:53:38.541,+18:44:50.53,12.527,0.029,11.92,0.029,11.847,0.022,AAA,298.410583333,18.7473611111,0.3,0.85,4875.508448,4966.370728,4951.905515,2.608178,2.563796,4966.370728,2.608178,4920.939588,2.585987,True,144_br1_2014,-0.019,0.086,0.33,0.217,0.16,0.455,0,0.355,carr_g,0.011,carr_g,-99.999,-99.999,-99.999,-0.199325,0.679699,-0.202355,0.647617,-0.136492,0.722513,0.003162,-0.25962,-0.033853,0.0,-0.118842,0.780274,0.001,0.0446888566474,99.999,99.999,99.999,99.999,-0.0879708970135,-0.0232709099103,0.0145492217318
A4,2014,br1,87.0,12.2,1.69,-15.4814,-18.6839,-21.7,46,19:53:53.24,18:46:47.1,101.54,5.15,97,19535325+1846471,0.175,19:53:53.252,+18:46:47.13,9.09,0.039,8.197,0.04,8.04,0.018,AAA,298.471833333,18.77975,0.29,-1.559,4057.895934,3946.489874,3964.130735,0.963195,1.067934,3946.489874,0.963195,4002.192904,1.0155645,False,46_br1_2014,-0.057,0.25,0.35,0.177,0.348,0.496,1,0.33,cord,0.18,cord,3935.0,-99.999,-99.999,-1.091831,2.488467,-1.305886,2.174619,-1.336722,2.498274,0.005831,-1.419363,-0.735763,0.002,-1.336722,2.498274,0.005831,0.0266335833757,99.999,99.999,99.999,99.999,-0.0707253253732,-0.0538755697002,-0.00219852933329
A3,2014,br1,88.0,14.43,1.04,-18.7123,-21.9148,-22.4,174,19:53:53.70,18:46:04.0,107.89,-37.97,96,19535369+1846039,0.06,19:53:53.696,+18:46:03.98,12.5,0.03,11.998,0.03,11.896,0.022,AAA,298.47375,18.7677777778,0.28,0.702,5118.027292,5214.006871,5205.43902,2.660651,2.618835,5214.006871,2.660651,5166.0170815,2.639743,False,174_br1_2014,-0.089,0.083,0.309,0.135,0.152,0.424,2,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.102655,0.736696,-0.124517,0.640774,0.009161,0.749244,0.002236,-0.143578,0.223946,0.001,0.039656,0.800145,0.002236,0.0306491105309,99.999,99.999,99.999,99.999,0.011088219376,-0.00505125983409,0.0153067074928
KC-263,2014,br1,91.0,15.05,1.15,-20.5652,-23.7677,-22.1,263,19:53:44.68,18:47:07.2,-20.13,25.28,96,19534468+1847072,0.108,19:53:44.685,+18:47:07.29,12.908,9.999,12.275,9.999,12.504,0.06,UUA,298.436166667,18.7853333333,0.29,1.291,4875.508448,5222.253075,6216.551993,2.899765,2.740196,4875.508448,2.740196,4875.508448,2.740196,False,263_br1_2014,-0.068,0.099,0.304,0.171,0.176,0.427,0,0.55,ram_noid,0.27,ram_noid,-99.999,5175.0,2.75,-0.360379,0.73933,-0.359438,0.832464,-0.220913,0.789733,0.001,-0.321054,0.179073,0.001,-0.210098,0.847939,0.00141,0.00941629345519,18.782,16.686,16.192,1.97262656302e-05,-0.198081575834,-0.021653222444,-0.0176172679288
1-106,2014,br1,93.0,14.36,0.89,-17.0133,-20.2158,-22.3,95,19:53:43.99,18:46:32.3,-30.02,-9.64,94,19534398+1846323,0.104,19:53:43.985,+18:46:32.38,12.355,0.03,11.903,0.035,11.818,0.027,AAA,298.433291667,18.7756388889,0.28,0.632,5534.843755,5203.187509,5491.549915,2.628022,2.761274,5203.187509,2.628022,5369.015632,2.694648,False,95_br1_2014,-0.116,0.079,0.309,0.113,0.152,0.428,2,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.139201,0.720914,-0.138676,0.634281,0.019366,0.711021,0.003162,-0.126221,-0.058366,0.002,0.030239,0.750428,0.002236,0.0104835611641,17.981,16.008,15.528,1.74491041488e-05,-0.0228869113083,-0.0058471037264,0.0141844225031
1-86,2014,br1,99.0,14.41,1.01,-17.6735,-20.876,-22.5,79,19:53:45.67,18:46:02.4,-6.01,-39.52,91,19534567+1846024,0.155,19:53:45.679,+18:46:02.49,12.495,0.046,11.934,0.04,11.91,0.037,AAA,298.440291667,18.7673333333,0.28,0.682,5195.110227,5255.11032,5282.84072,2.670046,2.644553,5255.11032,2.670046,5225.1102735,2.6572995,False,79_br1_2014,-0.113,0.079,0.31,0.104,0.15,0.431,2,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.081026,0.730061,-0.069156,0.60898,0.069774,0.719753,0.001414,-0.076348,-0.850701,0.002236,0.09075,0.758936,0.002,0.0122942777751,17.844,15.903,15.446,3.38951652378e-05,0.0129543805046,-0.00427182985723,0.0207258471998
1-95,2014,br2,4.0,13.3,1.29,-22.4867,-24.8376,-20.7,71,19:53:41.03,18:46:05.6,-71.95,-36.38,96,19534103+1846056,0.064,19:53:41.034,+18:46:05.60,10.922,0.042,10.224,0.038,10.123,0.03,EAA,298.420958333,18.7682222222,0.26,-0.366,4583.640798,4510.398893,4523.03943,1.874826,1.91977,4583.640798,1.91977,4583.640798,1.91977,False,71_br2_2014,0.442,0.342,0.325,0.656,0.425,0.445,1,0.31,cord,0.4,cord,4530.0,4550.0,1.65,-0.48833,1.588262,-0.478121,1.632895,-0.439632,1.465075,0.002236,-0.536599,1.436344,0.001,-0.439632,1.465075,0.002236,0.0241731896695,18.645,15.873,14.688,1.78882471158e-05,0.166246314856,0.163397720806,-0.011671167622
